Date,HomeTeam,AwayTeam,HomeGoal,AwayGoal,Result
10/4/2017,Edmonton Oilers,Calgary Flames,3,0,H
10/4/2017,Pittsburgh Penguins,St. Louis Blues,4,5,A
10/4/2017,San Jose Sharks,Philadelphia Flyers,3,5,A
10/4/2017,Winnipeg Jets,Toronto Maple Leafs,2,7,A
10/5/2017,Anaheim Ducks,Arizona Coyotes,5,4,H
10/5/2017,Boston Bruins,Nashville Predators,4,3,H
10/5/2017,Buffalo Sabres,Montreal Canadiens,2,3,A
10/5/2017,Chicago Blackhawks,Pittsburgh Penguins,10,1,H
10/5/2017,Detroit Red Wings,Minnesota Wild,4,2,H
10/5/2017,Los Angeles Kings,Philadelphia Flyers,2,0,H
10/5/2017,New York Rangers,Colorado Avalanche,2,4,A
10/5/2017,Ottawa Senators,Washington Capitals,4,5,A
10/6/2017,Columbus Blue Jackets,New York Islanders,5,0,H
10/6/2017,Dallas Stars,Vegas Golden Knights,1,2,A
10/6/2017,Tampa Bay Lightning,Florida Panthers,5,3,H
10/7/2017,Anaheim Ducks,Philadelphia Flyers,2,3,A
10/7/2017,Arizona Coyotes,Vegas Golden Knights,1,2,A
10/7/2017,Carolina Hurricanes,Minnesota Wild,5,4,H
10/7/2017,Calgary Flames,Winnipeg Jets,6,3,H
10/7/2017,Chicago Blackhawks,Columbus Blue Jackets,5,1,H
10/7/2017,Florida Panthers,Tampa Bay Lightning,5,4,H
10/7/2017,New Jersey Devils,Colorado Avalanche,4,1,H
10/7/2017,New York Islanders,Buffalo Sabres,6,3,H
10/7/2017,Ottawa Senators,Detroit Red Wings,1,2,A
10/7/2017,Pittsburgh Penguins,Nashville Predators,4,0,H
10/7/2017,San Jose Sharks,Los Angeles Kings,1,4,A
10/7/2017,St. Louis Blues,Dallas Stars,4,2,H
10/7/2017,Toronto Maple Leafs,New York Rangers,8,5,H
10/7/2017,Vancouver Canucks,Edmonton Oilers,3,2,H
10/7/2017,Washington Capitals,Montreal Canadiens,6,1,H
10/8/2017,New York Rangers,Montreal Canadiens,2,0,H
10/9/2017,Anaheim Ducks,Calgary Flames,0,2,A
10/9/2017,Boston Bruins,Colorado Avalanche,0,4,A
10/9/2017,Buffalo Sabres,New Jersey Devils,2,6,A
10/9/2017,Edmonton Oilers,Winnipeg Jets,2,5,A
10/9/2017,New York Islanders,St. Louis Blues,2,3,A
10/9/2017,Tampa Bay Lightning,Washington Capitals,4,3,H
10/9/2017,Toronto Maple Leafs,Chicago Blackhawks,4,3,H
10/10/2017,Carolina Hurricanes,Columbus Blue Jackets,1,2,A
10/10/2017,Dallas Stars,Detroit Red Wings,4,2,H
10/10/2017,Montreal Canadiens,Chicago Blackhawks,1,3,A
10/10/2017,Nashville Predators,Philadelphia Flyers,6,5,H
10/10/2017,New York Rangers,St. Louis Blues,1,3,A
10/10/2017,Vancouver Canucks,Ottawa Senators,2,3,A
10/10/2017,Vegas Golden Knights,Arizona Coyotes,5,2,H
10/11/2017,Anaheim Ducks,New York Islanders,3,2,H
10/11/2017,Colorado Avalanche,Boston Bruins,6,3,H
10/11/2017,Los Angeles Kings,Calgary Flames,3,4,A
10/11/2017,Toronto Maple Leafs,New Jersey Devils,3,6,A
10/11/2017,Washington Capitals,Pittsburgh Penguins,2,3,A
10/12/2017,Arizona Coyotes,Detroit Red Wings,2,4,A
10/12/2017,Chicago Blackhawks,Minnesota Wild,2,5,A
10/12/2017,Florida Panthers,St. Louis Blues,5,2,H
10/12/2017,Nashville Predators,Dallas Stars,4,1,H
10/12/2017,San Jose Sharks,Buffalo Sabres,3,2,H
10/12/2017,Tampa Bay Lightning,Pittsburgh Penguins,5,4,H
10/12/2017,Vancouver Canucks,Winnipeg Jets,2,4,A
10/13/2017,Columbus Blue Jackets,New York Rangers,3,1,H
10/13/2017,Calgary Flames,Ottawa Senators,0,6,A
10/13/2017,Colorado Avalanche,Anaheim Ducks,3,1,H
10/13/2017,New Jersey Devils,Washington Capitals,2,5,A
10/13/2017,Vegas Golden Knights,Detroit Red Wings,3,6,A
10/14/2017,Arizona Coyotes,Boston Bruins,2,6,A
10/14/2017,Chicago Blackhawks,Nashville Predators,2,1,H
10/14/2017,Dallas Stars,Colorado Avalanche,3,1,H
10/14/2017,Edmonton Oilers,Ottawa Senators,1,6,A
10/14/2017,Los Angeles Kings,Buffalo Sabres,4,2,H
10/14/2017,Minnesota Wild,Columbus Blue Jackets,4,5,A
10/14/2017,Montreal Canadiens,Toronto Maple Leafs,3,4,A
10/14/2017,New York Rangers,New Jersey Devils,2,3,A
10/14/2017,Philadelphia Flyers,Washington Capitals,8,2,H
10/14/2017,Pittsburgh Penguins,Florida Panthers,4,3,H
10/14/2017,San Jose Sharks,New York Islanders,1,3,A
10/14/2017,Tampa Bay Lightning,St. Louis Blues,2,1,H
10/14/2017,Vancouver Canucks,Calgary Flames,2,5,A
10/14/2017,Winnipeg Jets,Carolina Hurricanes,2,1,H
10/15/2017,Anaheim Ducks,Buffalo Sabres,1,3,A
10/15/2017,Los Angeles Kings,New York Islanders,3,2,H
10/15/2017,Vegas Golden Knights,Boston Bruins,3,1,H
10/16/2017,Detroit Red Wings,Tampa Bay Lightning,2,3,A
10/17/2017,Dallas Stars,Arizona Coyotes,3,1,H
10/17/2017,Edmonton Oilers,Carolina Hurricanes,3,5,A
10/17/2017,New Jersey Devils,Tampa Bay Lightning,5,4,H
10/17/2017,Nashville Predators,Colorado Avalanche,4,1,H
10/17/2017,New York Rangers,Pittsburgh Penguins,4,5,A
